OrderID,LineNumber,ClientID,ProductKey,DateCommande,Quantite,PrixUnitaire,Remise,Region,Statut,Canal
CMD00001,1,CL0086,PR0056,2025-06-18,4,37.83,0,Bretagne,Livrée,Boutique
CMD00002,1,CL0017,PR0008,2025-11-24,3,43.75,0.14,Occitanie,Livrée,En ligne
CMD00002,2,CL0017,PR0047,2025-11-24,1,18.00,0.13,Occitanie,Livrée,En ligne
CMD00002,3,CL0017,PR0015,2025-11-24,2,23.82,0,Occitanie,Annulée,En ligne
CMD00002,4,CL0017,PR0013,2025-11-24,4,26.09,0,Occitanie,Livrée,Mobile
CMD00003,1,CL0041,PR0027,2024-12-15,2,26.37,0,Île-de-France,Annulée,Mobile
CMD00003,2,CL0041,PR0004,2024-12-15,3,40.05,0,Île-de-France,Livrée,Boutique
CMD00003,3,CL0041,PR0040,2024-12-15,3,25.90,0,Île-de-France,Livrée,Mobile
CMD00004,1,CL0154,PR0014,2024-02-07,4,27.27,0,Bretagne,Livrée,En ligne
CMD00004,2,CL0154,PR0042,2024-02-07,3,38.11,0,Bretagne,Annulée,En ligne
CMD00005,1,CL0168,PR0026,2025-10-14,1,19.21,0,Bretagne,Annulée,Boutique
CMD00005,2,CL0168,PR0016,2025-10-14,5,30.71,0,Bretagne,Annulée,Mobile
CMD00005,3,CL0168,PR0001,2025-10-14,5,25.87,0,Bretagne,Livrée,Mobile
CMD00006,1,CL0164,PR0011,2024-08-27,5,37.96,0,Est,Livrée,Boutique
CMD00006,2,CL0164,PR0015,2024-08-27,2,20.42,0,Est,Annulée,Mobile
CMD00007,1,CL0094,PR0004,2025-08-20,4,20.34,0.02,Nord,Livrée,En ligne
CMD00008,1,CL0020,PR0025,2025-04-24,3,5.27,0,Bretagne,En cours,En ligne
CMD00008,2,CL0020,PR0011,2025-04-24,4,46.20,0.14,Bretagne,Livrée,En ligne
CMD00009,1,CL0183,PR0055,2024-08-17,4,44.10,0.02,Sud,Livrée,Boutique
CMD00009,2,CL0183,PR0035,2024-08-17,2,14.81,0,Sud,En cours,Boutique
CMD00010,1,CL0053,PR0056,2025-06-12,2,15.69,0,Île-de-France,Livrée,Boutique
CMD00011,1,CL0068,PR0039,2024-11-10,3,15.18,0,Est,En cours,Boutique
CMD00011,2,CL0068,PR0017,2024-11-10,2,8.45,0,Est,Livrée,En ligne
CMD00011,3,CL0068,PR0012,2024-11-10,2,34.67,0,Est,Livrée,En ligne
CMD00011,4,CL0068,PR0019,2024-11-10,1,12.45,0,Est,Livrée,En ligne
CMD00012,1,CL0136,PR0049,2024-06-19,3,15.89,0,Bretagne,Livrée,Boutique
CMD00012,2,CL0136,PR0040,2024-06-19,2,42.16,0,Bretagne,Livrée,Boutique
CMD00012,3,CL0136,PR0057,2024-06-19,2,25.77,0,Bretagne,En cours,Boutique
CMD00012,4,CL0136,PR0002,2024-06-19,2,31.95,0,Bretagne,Annulée,Mobile
CMD00013,1,CL0167,PR0021,2025-08-12,5,19.61,0,Auvergne-Rhône-Alpes,Livrée,En ligne
CMD00013,2,CL0167,PR0017,2025-08-12,4,39.21,0,Auvergne-Rhône-Alpes,Annulée,En ligne
CMD00013,3,CL0167,PR0019,2025-08-12,2,16.27,0,Auvergne-Rhône-Alpes,Livrée,Mobile
CMD00013,4,CL0167,PR0039,2025-08-12,5,37.23,0,Auvergne-Rhône-Alpes,Livrée,Mobile
CMD00014,1,CL0159,PR0007,2024-02-01,4,6.73,0,Auvergne-Rhône-Alpes,Livrée,Mobile
CMD00014,2,CL0159,PR0041,2024-02-01,4,15.68,0,Auvergne-Rhône-Alpes,Livrée,En ligne
CMD00014,3,CL0159,PR0027,2024-02-01,2,35.20,0.08,Auvergne-Rhône-Alpes,En cours,Mobile
CMD00014,4,CL0159,PR0060,2024-02-01,2,37.92,0,Auvergne-Rhône-Alpes,Livrée,Mobile
CMD00015,1,CL0144,PR0011,2025-11-02,5,8.11,0,Est,Annulée,Boutique
CMD00016,1,CL0190,PR0044,2024-07-27,2,6.29,0,Île-de-France,Annulée,Boutique
CMD00016,2,CL0190,PR0046,2024-07-27,3,33.89,0.06,Île-de-France,Livrée,Boutique
CMD00016,3,CL0190,PR0014,2024-07-27,3,43.34,0,Île-de-France,Livrée,En ligne
CMD00016,4,CL0190,PR0009,2024-07-27,2,3.77,0.29,Île-de-France,Livrée,Mobile
CMD00017,1,CL0118,PR0008,2024-12-26,3,46.57,0,Nord,Livrée,Mobile
CMD00018,1,CL0078,PR0027,2025-12-06,1,24.18,0,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00019,1,CL0159,PR0038,2025-11-16,4,43.93,0,Auvergne-Rhône-Alpes,Livrée,Mobile
CMD00019,2,CL0159,PR0021,2025-11-16,3,5.13,0.08,Auvergne-Rhône-Alpes,Livrée,Boutique
CMD00020,1,CL0190,PR0011,2025-05-06,1,36.14,0,Île-de-France,Livrée,Boutique
